33M Combined_Bin,33M Combined_Counts,125M Combined_Bin,125M Combined_Counts,desi_Bin,desi_Counts,sos_Bin,sos_Counts,lamost_Bin,lamost_Counts,sdss_Bin,sdss_Counts,others_Bin,others_Counts
-3.850000000000019,539.0000000000466,-4.1250000000000195,100.99999999984759,-3.850000000000019,492.00000000005224,-4.1250000000000195,0.0,-3.3350000000000195,9.99999999998046,-3.8800000000000194,1.999999999996092,-3.3300000000000196,17.999999999992184
-3.8400000000000194,550.9999999998508,-4.11500000000002,182.9999999998476,-3.8400000000000194,484.9999999998746,-4.11500000000002,1.999999999996092,-3.3250000000000197,8.000000000007816,-3.8700000000000196,2.9999999999960925,-3.32000000000002,20.999999999992184
-3.8300000000000196,529.0000000001759,-4.10500000000002,239.99999999994137,-3.8300000000000196,465.0000000001954,-4.10500000000002,1.0,-3.31500000000002,4.0,-3.86000000000002,3.000000000007727,-3.31000000000002,12.000000000007017
-3.82000000000002,566.9999999997781,-4.09500000000002,222.00000000003217,-3.82000000000002,495.99999999980105,-4.09500000000002,1.9999999999957367,-3.30500000000002,2.000000000007727,-3.85000000000002,2.999999999996003,-3.3000000000000203,24.999999999995115
-3.81000000000002,569.9999999999523,-4.08500000000002,201.00000000003678,-3.81000000000002,511.9999999999175,-4.08500000000002,1.0000000000040856,-3.2950000000000204,7.999999999987654,-3.8400000000000203,2.9999999999998224,-3.2900000000000205,7.000000000016343
-3.8000000000000203,608.0000000000701,-4.075000000000021,265.9999999997344,-3.8000000000000203,550.0000000000634,-4.075000000000021,1.0,-3.2850000000000206,2.000000000012168,-3.8300000000000205,3.0000000000040856,-3.2800000000000207,14.999999999987743
-3.7900000000000205,496.00000000016746,-4.065000000000021,340.9999999997385,-3.7900000000000205,437.0000000001879,-4.065000000000021,1.0000000000040856,-3.275000000000021,3.000000000000089,-3.8200000000000207,2.9999999999957367,-3.270000000000021,12.000000000011726
-3.7800000000000207,387.000000000166,-4.055000000000021,827.999999999133,-3.7800000000000207,339.0000000001439,-4.055000000000021,0.0,-3.265000000000021,4.999999999991296,-3.810000000000021,8.348877145181355e-12,-3.260000000000021,11.00000000001652
-3.770000000000021,348.0000000001156,-4.045000000000021,588.0000000005116,-3.770000000000021,302.00000000010687,-4.045000000000021,2.9999999999872107,-3.255000000000021,2.0000000000085265,-3.800000000000021,2.0,-3.2500000000000213,9.99999999997442
-3.760000000000021,385.99999999992195,-4.0350000000000215,650.9999999998251,-3.760000000000021,318.00000000000136,-4.0350000000000215,1.0000000000127898,-3.2450000000000214,5.99999999998721,-3.7900000000000214,3.999999999995737,-3.2400000000000215,24.0
-3.7500000000000213,354.00000000005116,-4.025000000000022,618.0000000001492,-3.7500000000000213,298.9999999999744,-4.025000000000022,0.0,-3.2350000000000216,4.00000000001279,-3.7800000000000216,4.2632564145606916e-12,-3.2300000000000217,20.999999999986233
-3.7400000000000215,335.99999999999307,-4.015000000000022,541.0000000000257,-3.7400000000000215,281.00000000001705,-4.015000000000022,4.999999999982236,-3.225000000000022,9.999999999982503,-3.770000000000022,1.0,-3.220000000000022,23.999999999994586
-3.7300000000000217,325.00000000007685,-4.005000000000022,204.00000000091927,-3.7300000000000217,263.0000000001091,-4.005000000000022,4.000000000004441,-3.215000000000022,7.000000000008438,-3.760000000000022,0.0,-3.210000000000022,19.00000000000444
-3.720000000000022,340.999999999961,-3.9950000000000223,173.99999999997777,-3.720000000000022,281.9999999999093,-3.9950000000000223,8.0,-3.2050000000000223,7.999999999991118,-3.750000000000022,2.0,-3.2000000000000224,16.000000000017764
-3.710000000000022,311.0000000000622,-3.9850000000000225,231.99999999989282,-3.710000000000022,255.00000000006216,-3.9850000000000225,7.999999999986145,-3.1950000000000225,3.0000000000133227,-3.7400000000000224,0.0,-3.1900000000000226,20.999999999977796
-3.7000000000000224,306.0000000000276,-3.9750000000000227,270.9999999998363,-3.7000000000000224,250.00000000005252,-3.9750000000000227,7.0000000000182965,-3.1850000000000227,14.999999999972644,-3.7300000000000226,1.9999999999954703,-3.180000000000023,21.000000000003464
-3.6900000000000226,283.0000000000508,-3.965000000000023,312.9999999999694,-3.6900000000000226,239.0000000000237,-3.965000000000023,7.999999999976552,-3.175000000000023,4.000000000036238,-3.720000000000023,1.9999999999999112,-3.170000000000023,18.00000000002212
-3.680000000000023,300.9999999998861,-3.955000000000023,371.9999999997922,-3.680000000000023,250.999999999865,-3.955000000000023,4.000000000023093,-3.165000000000023,5.999999999976907,-3.710000000000023,2.0,-3.1600000000000232,12.999999999990052
-3.670000000000023,281.00000000007856,-3.9450000000000234,463.9999999996864,-3.670000000000023,228.00000000010158,-3.9450000000000234,7.999999999990408,-3.1550000000000233,9.000000000013856,-3.7000000000000233,4.61852778244075e-12,-3.1500000000000234,28.999999999954525
-3.6600000000000232,293.99999999996936,-3.9350000000000236,525.0000000000333,-3.6600000000000232,236.99999999996209,-3.9350000000000236,4.000000000000355,-3.1450000000000236,9.9999999999857,-3.6900000000000235,0.0,-3.1400000000000237,14.00000000004956
-3.6500000000000234,292.9999999999292,-3.925000000000024,605.9999999996419,-3.6500000000000234,247.9999999999389,-3.925000000000024,4.9999999999992895,-3.1350000000000238,6.000000000004352,-3.6800000000000237,1.9999999999904077,-3.130000000000024,18.99999999997602
-3.6400000000000237,305.99999999997226,-3.915000000000024,566.0000000000767,-3.6400000000000237,260.99999999996453,-3.915000000000024,3.0000000000143885,-3.125000000000024,5.0000000000143885,-3.670000000000024,9.592326932760705e-12,-3.120000000000024,24.000000000000004
-3.630000000000024,279.000000000048,-3.9050000000000242,550.0000000000416,-3.630000000000024,228.00000000007674,-3.9050000000000242,4.999999999999911,-3.115000000000024,7.999999999980815,-3.660000000000024,1.0,-3.1100000000000243,20.00000000002398
-3.620000000000024,307.99999999992804,-3.8950000000000244,584.9999999999128,-3.620000000000024,250.99999999996163,-3.8950000000000244,2.0000000000001776,-3.1050000000000244,11.000000000004441,-3.6500000000000243,1.0,-3.1000000000000245,19.99999999997007
-3.6100000000000243,288.00000000003956,-3.8850000000000247,550.0000000000914,-3.6100000000000243,243.99999999997425,-3.8850000000000247,2.0000000000047073,-3.0950000000000246,7.999999999999645,-3.6400000000000245,1.9999999999950262,-3.0900000000000247,20.000000000013767
-3.6000000000000245,264.00000000007816,-3.875000000000025,576.0000000000498,-3.6000000000000245,218.0000000000635,-3.875000000000025,1.9999999999900524,-3.085000000000025,9.0,-3.6300000000000248,3.0,-3.080000000000025,20.999999999970157
-3.5900000000000247,287.99999999987875,-3.865000000000025,535.0000000000822,-3.5900000000000247,245.99999999992013,-3.865000000000025,8.99999999999476,-3.075000000000025,4.000000000009948,-3.620000000000025,1.0,-3.070000000000025,29.999999999990052
