LOW,HIGH,t2_not_33m>10_COUNT,t1_desi<10_COUNT,t1_boss<10_COUNT,t1_others <10_COUNT,t3_not_220m>10_COUNT,t3_not_17m>10_COUNT
0.5,0.51,0.001101190767530111,0.11280473210927618,0.0019342359767891683,0.061,1.055167683731073E-5,0.0
0.51,0.52,0.0010052000106948605,0.10589804082469997,0.0038684719535783366,0.044,6.531990423097118E-6,0.0
0.52,0.53,9.730569870970597E-4,0.09912811570417479,0.0038684719535783366,0.043000000000000003,1.1054137639087432E-5,0.0
0.53,0.54,9.200209981606885E-4,0.09599617054740657,0.0,0.035,3.51722561243691E-6,0.0
0.54,0.55,8.494524508982441E-4,0.09045714090334052,0.0019342359767891683,0.043000000000000003,8.039372828427223E-6,0.0
0.55,0.56,8.06059369041213E-4,0.0863131261325948,0.0019342359767891683,0.047,4.522147215990313E-6,0.0
0.56,0.5700000000000001,7.465947753852815E-4,0.0797551885663487,0.0019342359767891683,0.036000000000000004,5.527068819543716E-6,0.0
0.5700000000000001,0.5800000000000001,6.964808795032558E-4,0.07665743495059323,0.0,0.047,2.5123040088835072E-6,0.0
0.58,0.59,6.523572743826385E-4,0.07296474852121586,0.0038684719535783366,0.032,4.522147215990313E-6,0.0
0.59,0.6,6.329253555712406E-4,0.0684788183403426,0.0019342359767891683,0.032,3.0147648106602084E-6,0.0
0.6,0.61,5.851491341326914E-4,0.0660101890792218,0.0,0.049,1.0049216035534029E-6,0.0
0.61,0.62,5.619184943506444E-4,0.06236537080726229,0.0019342359767891683,0.039,2.0098432071068057E-6,0.0
0.62,0.63,5.215936102006762E-4,0.05796150032481964,0.0,0.046,2.5123040088835072E-6,0.0
0.63,0.64,4.990934936822156E-4,0.05626559989058707,0.0019342359767891683,0.035,1.0049216035534029E-6,0.0
0.64,0.65,4.7074919105506404E-4,0.05399528156734024,0.0,0.039,2.0098432071068057E-6,0.0
0.65,0.66,4.5453157460344636E-4,0.05136937121756078,0.0019342359767891683,0.033,1.5073824053301042E-6,0.0
0.66,0.67,4.1464500441162997E-4,0.04881868225800937,0.0,0.032,5.024608017767014E-7,0.0
0.67,0.68,4.058787252485934E-4,0.044613122713440694,0.0,0.031,1.0049216035534029E-6,0.0
0.6799999999999999,0.69,3.884922715752375E-4,0.044654152562656,0.0,0.018000000000000002,2.5123040088835072E-6,0.0
0.69,0.7,3.5342715492309124E-4,0.04211714021950969,0.0019342359767891683,0.023,5.024608017767014E-7,0.0
0.7,0.71,3.2815105000300244E-4,0.03933394878107156,0.0,0.029,5.024608017767014E-7,0.0
