LOW,HIGH,t5_DESI_COUNT,t5_EXCEPT_COUNT,t3_220M_COUNT,t3_17M_COUNT,t3_33M_COUNT,t5_BOSS_COUNT
1.9607603016727907E-4,1.9760787415296088E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.9760787415296088E-4,1.991516856697808E-4,0.0,0.0,0.0,0.0,0.0,0.0
1.991516856697808E-4,2.0070755821407593E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.0070755821407612E-4,2.0227558601262354E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.0227558601262354E-4,2.038558640283471E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.038558640283471E-4,2.054484879660685E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.054484879660687E-4,2.0705355427830355E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.0705355427830355E-4,2.0867116017110273E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.0867116017110273E-4,2.1030140360993942E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.1030140360993964E-4,2.1194438332564224E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.1194438332564202E-4,2.1360019882037354E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.1360019882037375E-4,2.1526895037365785E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.1526895037365807E-4,2.1695073904845223E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.1695073904845198E-4,2.1864566669726795E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.1864566669726817E-4,2.203538359683405E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.203538359683405E-4,2.220753503118431E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.220753503118431E-4,2.2381031398615434E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.2381031398615455E-4,2.2555883206417133E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.2555883206417133E-4,2.273210104396726E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.273210104396726E-4,2.2909695583373248E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.290969558337327E-4,2.3088677580118368E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.3088677580118368E-4,2.3269057873713035E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.3269057873713035E-4,2.345084738835141E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.3450847388351435E-4,2.3634057133572925E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.36340571335729E-4,2.3818698204928931E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.3818698204928956E-4,2.4004781784654956E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.400478178465498E-4,2.419231914234759E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.4192319142347566E-4,2.4381321635647148E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
